Title,Author,ISBN
The Company of Women,Khushwant Singh,670889911
The Constitution of India,,
The Constitution of India,,
The Cuckoo's Calling,Robert Gailbraith,978-1-4087-0400-4
The DaVinci Code,Dan Brown,0552149519
The Devil Wears Prada,Lauren Weisberger,0-00-715610-3
The Doomsday Conspiracy &  The Stars Shine Down,Sidney Sheldon,0-00768-356-1
The Drunken Goldfish,William Hartston,0-04-827158-6
The exodus Quest,Will Adams,978-0-00-731256-6
The Eye of Good,James Rollins  ,978-0-06-226939-3
The Fountainhead,Ayn rand,0-586-01264-8
"The Fugitive, Theodore Boone",John Grisham,9781444767766
The Godfather,Mario Puzo,
The Hunchback of Notre Dame,Victor Hugo,978-0-553-21370-6
"The Indian Contract Act, 1872 (updated 14th edition) Pollock & Mulla",Nilima Bhadbhade,978-93-5143-104-6
The Indian Penal Code (34th Ed.) Ratanlal & Dhirajlal,Justice K.T. Thomas & M.A. Rashid,978-93-5143-099-5
The Innocent,David Baldacci,978-1-4472-1489-2
The Innocent Man,John Grisham,9780099493570
"The Indian Penal Code, 1860",,
The Kill List,Frederik Forsyth,9780552169325
The Last Juror,John Grisham,0-440-24157-X
The lincoln Lawyer,Michael Connelly,0-7528-7779-8
The List,Steve Martini,0-7472-4996-2
The Litigators,John Grisham,978-1-444-74014-1
The Lost Symbol ,Dan Brown,9780593054277
The Lost Symbol- Illustrated Edition,Dan Brown,9780593066881
The Lost Throne ,Chris Kuzenski,978-0-141-03707-3
The Magnificient Maharaja,K. Natwar Singh,81-7223-289-6
The Memory Keepers Daughter,Kim Edwards,0-14-303714-5
The Museum of Innocence,Orhan Pamuk,978-0-571-23702-9
The Naked Face,Sidney Sheldon,
The Negotiator,Frederik Forsyth,9780552134750
The Old Man and the Sea,Ernest Hemingway,9780099908401
The Opposite of Loneliness,Marina Keegan,978-1-47113-962-8
The Order of the Sanguines Vol. I The Blood Gospel,James Rollins & Rebecca Cantrell,978-1-4091-3793-1
The Order of the Sanguines Vol. II Innocent Blood,James Rollins & Rebecca Cantrell,978-0-06-199107-3
The Other Boleyn Girl,Philippa Gregory,978-0-00-726279-3
The Palace of Illusions,Chitra Bannerjee Divakaruni,978-0-330-45853-5
The Paris Vendetta,Steve Berry,9781444709773
The Partner,John Grisham,0-09-941031-1
The Pelican Brief,John Grisham,0-09-999380-5
The Phantom Tollbooth,Norton Juster,978-0-00-745189-0
The Prodigal daughter,Jeffrey Archer,0-330-41902-1
The prophecies of Nostradamus,Erika Cheetham,0-552-09828-0
The Prophet,Khalil Gibran,978-81-7234-354-5
The Racketeer,John Grisham,9781-444-75720-0
The Rainmaker,John Grisham,0-09-917961-X
The Reluctant Widow,Georgette Heyer,9780099468073
The Romanov Prophecy,Steve Berry,978-0-340-89931-1
The Runaway Jury,John Grisham,0-09-941021-4
The Satanic Verses,Salman Rushdie,9780963270702
The Savage Altar,Asa Larsson,978-0-141-02471-4
The Scarlett Letter,Nathaniel Hawthorne,
The Seige,Adrian Levy & Cathy Scott-Clark,9780143420101
The Sellout,Paul Beatty,978-1-78607-017-3
The Six Wives of Henry VIII,Angela Royston,0-85372-940-9
The Sky is Falling,Sidney Sheldon,0-00-711481-8
The Spy,Paulo Cohelo,9780670089536
The Street Lawyer,John Grisham,9780099244929
The Summons,John Grisham,9780099406136
The Suvivor,Gregg Hurwitz,978-0-7515-4540-1
The tales of Beedle the Bard,J.K. Rowling,978-0-7475-9987-6
The Testament,John Grisham,9780099245025
The Theory of catering,David Foskett & Voctor Ceserani,978-0340-939-277
The Three Musketeers,Alexandre Dumas,1-85326-040-1
The Transfer of Property Act (4th Ed.),Dr. Avtar Singh  ,
The Trial,Franz Kafka,9780099428640
The Vault of Shiva,Andy McDermott,978-0-7553-8144-9
The Winner Stands Alone,Paulo Cohelo,978-0-00-731868-1
The Witches,Roald Dahl,0-141-31139-8
The Zahir,Paulo Cohelo,
Theodore Boone,John Grisham,978-1444-71305-3
Theory of Cookery,Krishna Arora,978-81-8409-503-6
To Cut  A Long Story Short,Jeffrey Archer,0-00-651487-1
To Kill a Mockingbird (50th Anniversary Ed.),Harper Lee,9780099549482
Train to Pakistan,Khushwant Singh,9780143065883
Twilight Saga Vol. I Twilight,Stephenie Meyer,978-1-905654-40-6
Twilight Saga Vol. II New Moon,Stephenie Meyer,978-1-904233-88-6
Twilight Saga Vol. III Eclipse,Stephenie Meyer,978-1-90423-391-6
Twilight Saga Vol. IV Breaking Dawn,Stephenie Meyer,978-1-905654-29-1
Ulysses (Re-edited by author in 1932),James Joyce,978-1-84022-635-5
V.N. Shukla's The Constitution of India (12th Ed.),Mahendra Pal Singh,93-5028-957-1
Vampire Academy,Richelle Mead,978-0-141-32852-2
Webster's Compact Dictionary,Merriam-Webster,0-87779-488-X
Where Are You Now,Mary Higgins Clark,978-1-4165-7734-8
Windmills of the Gods,Sidney Sheldon,
Wonderful Gift Wrapping,Jyoti Nikunj Parekh,81-243-0473-4
Wuthering Heights ,Emily Bronte,0-553-21258-3
You Belong to me,Mary Higgins Clark,978-0-7434-8432-9
You Can Heal Your Life,Louise L. hay,978-81-905655-8-5
Zero Day,David Baldacci,978-1-4472-1338-3
